String,Probability Of Repetition,Execution Time (ns),Solutions Found,Method Cost
ΦbX7P,0,346217,1,2418
HυΣτs,0,7436826,1,53918
Θ@8Iω,0,1079004,1,8517
Qsγcθ,0,1429654,1,11181
κjξs%,0,2265577,1,17400
#Tn@Ξ,0,577886,1,4038
ΛaIsT,0,1397449,1,10691
εΠVPm,0,2703674,1,21049
πδehl,0,1138289,1,12636
VfgλM,0,3785753,1,42200
ωΔRKA,0,864297,1,9227
Unaψη,0,2924947,1,34557
τΠLΞS,0,1394022,1,16540
ΨFImq,0,1806033,1,22234
ΨdχΘZ,0,2861874,1,33287
z1Ξ3f,0,636952,1,7392
OWΣχm,0,342069,1,3403
3klDψ,0,2847179,1,37276
ζIΓic,0,667221,1,6597
Wh#7C,0,311009,1,2973
αλεμ8,0,677798,1,7742
ljeCχ,0,4344959,1,48834
3βUΦN,0,2835183,1,21609
AΘωZp,0,4018102,1,31167
ΣYDwd,0,3838037,1,32072
vVrpj,0,76769,1,13
SΛD5o,0,6234768,1,49509
ΛλuPr,0,4249390,1,35886
γKLfζ,0,3111514,1,25093
0ΦμφΛ,0,150272,1,523
2ζEhΞ,0,143530,1,438
KYMuN,0,1736565,1,14176
1Iτ%$,0,927650,1,6792
ΞIβτV,0,5083758,1,35906
Mχqo#,0,182546,1,978
FξΓΠZ,0,2750967,1,23954
IWΔ3x,0,259738,1,1543
lMHδγ,0,138795,1,633
fKΠYv,0,8494837,1,15520
εZσνp,0,1752949,1,14171
ηB0ΣΓ,0,3840006,1,32227
ZPT#z,0,4529195,1,52503
bRνOπ,0,1719480,1,22174
cu6rΨ,0,773323,1,9637
ΞPΘzY,0,753322,1,9362
3bΦgY,0,3650728,1,45954
aτΘIΞ,0,801725,1,9677
M4ιζσ,0,155003,1,1313
ε!6λL,0,378605,1,2803
8ιFβA,0,1066750,1,13481
ΩsιΣl,0,163181,1,1458
νεPvΓ,0,78678,1,278
ΞDQν2,0,1882790,1,24469
!ΘυMη,0,185306,1,1533
ξ3ηlz,0,1918334,1,23584
νR$Λπ,0,4856866,1,62731
Qn6Y3,0,1591984,1,21059
ΨgChm,0,160101,1,1403
λτ%9β,0,1598589,1,19675
fjAπZ,0,409406,1,3908
δrΨγy,0,1551985,1,19670
bWιRD,0,510692,1,6292
0γ8ψA,0,1919683,1,25048
1γCt@,0,4407342,1,57517
ΣMn8θ,0,75504,1,243
αR%εJ,0,840090,1,10816
pTζμS,0,1648059,1,20724
eχU7d,0,90246,1,568
τ0fΦΨ,0,3734151,1,45834
iΔψωξ,0,1750014,1,22129
V$TBΦ,0,1009818,1,12221
qNpow,0,4541892,1,60401
i#τoV,0,408858,1,4873
WκφHo,0,1276668,1,15440
pUMDL,0,304861,1,3588
sg6eχ,0,5420606,1,67365
ειJvs,0,1287246,1,10181
vυe#D,0,1056225,1,8507
SψΘι0,0,4957866,1,42780
zπ@So,0,1170894,1,10191
f7#LΔ,0,1721732,1,15255
BqRνp,0,394819,1,2643
gueNΩ,0,1033518,1,7567
Fxq43,0,1252477,1,10726
cΠ$@Σ,0,168032,1,1003
ζ25%N,0,199158,1,1218
Eoγdk,0,506655,1,3978
rYvFω,0,5523132,1,49779
σ#QTψ,0,2603289,1,23309
G%cvs,0,4137409,1,36611
T9ΞDV,0,6272062,1,52703
Yδ1Hι,0,2943020,1,25523
VΣcu5,0,3283594,1,27373
CΨνz2,0,302983,1,2168
7κnU!,0,3843796,1,34877
ΨμZσy,0,284475,1,1728
ΣMRHs,0,1858052,1,15655
LVνe8,0,5526755,1,52468
avqID,0,2312300,1,25508
ZRπΘ4,0,1107230,1,12056
ψξPαK,0,1510056,1,16440
jTRQΔ,0,1764463,1,21574
0!Bξn,0,451496,1,5287
JqνBV,0,5675954,1,74724
bSldσ,0,1612627,1,21329
nH3$t,0,592758,1,7232
a3ηΘΛ,0,1837723,1,24399
FΣgθT,0,350080,1,4098
ΨκmXβ,0,1047989,1,12561
CΨZ3c,0,1318977,1,16750
1yjΔΦ,0,122725,1,908
Jfεpr,0,2756640,1,36141
SΞβκΣ,0,1290544,1,16755
ηΞz@o,0,3223289,1,41490
ξδσIJ,0,1711943,1,22199
RxΣαP,0,4370193,1,56272
OEδΛc,0,993630,1,12706
T!aξα,0,5813895,1,49054
Tβeεh,0,241782,1,908
tα82λ,0,13790478,1,42815
%qμwe,0,7967040,1,4558
κUqσ0,0,2365327,1,15085
HGΨM9,0,489949,1,2503
1NWΘZ,0,26933622,1,49839
oκsNH,0,1859556,1,11696
νιd9z,0,13571562,1,2938
ζΔDZΞ,0,1537402,1,15485
Eβl0t,0,984537,1,9662
PesΘK,0,7763214,1,13681
qktGm,0,9563976,1,32622
kζτξΛ,0,420333,1,3508
RjUΘΓ,0,14374184,1,12336
YyΨnx,0,16829658,1,37806
Θpkhr,0,884883,1,5852
ΞσZΩD,0,8390810,1,8622
Zz@ΠP,0,11355553,1,27768
$4%yk,0,3826123,1,22884
DxαUX,0,13686336,1,30872
%ugφ!,0,18014172,1,46629
lpyνe,0,8105094,1,17835
J5EηF,0,973023,1,9737
ω1thl,0,9387686,1,30497
nzk7J,0,9477157,1,13551
jK@ΣF,0,16283549,1,40795
#ZYλp,0,107293,1,228
i0ek1,0,4348517,1,25878
Io$μΦ,0,11205504,1,24529
ezΣwζ,0,10241875,1,21074
Θux%R,0,888972,1,5417
aNΩσ!,0,16728833,1,44730
ΔP$Λ9,0,1204424,1,6872
λeO23,0,798019,1,4838
#XΩλ5,0,353689,1,2978
dfλsV,0,292252,1,2303
USωWλ,0,15279098,1,43295
FxΣOu,0,144233,1,803
IpWiw,0,1542561,1,14846
ΣKNΩo,0,181430,1,1053
